season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
1,1,The One Where Monica Gets a Roommate,22 Sep. 1994,8.3,8378,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar."
1,2,The One with the Sonogram at the End,29 Sep. 1994,8.0,6441,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.
1,3,The One with the Thumb,6 Oct. 1994,8.1,6060,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.
1,4,The One with George Stephanopoulos,13 Oct. 1994,8.1,5892,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'."
1,5,The One with the East German Laundry Detergent,20 Oct. 1994,8.4,5872,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend."
1,6,The One with the Butt,27 Oct. 1994,8.1,5609,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.
1,7,The One with the Blackout,3 Nov. 1994,9.0,7133,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model."
1,8,The One Where Nana Dies Twice,10 Nov. 1994,8.1,5488,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.
1,9,The One Where Underdog Gets Away,17 Nov. 1994,8.2,5316,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.
1,10,The One with the Monkey,15 Dec. 1994,8.0,5337,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.
1,11,The One with Mrs. Bing,5 Jan. 1995,8.2,5265,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma."
1,12,The One with the Dozen Lasagnas,12 Jan. 1995,8.2,5161,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.
