,season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers,imdb_rating,total_votes,desc,rachel,monica,phoebe,joey,chandler,ross,rachel_words,monica_words,phoebe_words,joey_words,chandler_words,ross_words
0,1,1,1,The One Where Monica Gets a Roommate,James Burrows,David Crane & Marta Kauffman,1994-09-22,456650,21500000.0,8.3,8378.0,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.",48.0,73.0,19.0,39.0,39.0,47.0,832.0,749.0,313.0,459.0,445.0,581.0
1,1,2,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,1994-09-29,456652,20200000.0,8.0,6441.0,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,38.0,28.0,13.0,8.0,16.0,62.0,460.0,286.0,118.0,58.0,243.0,723.0
2,1,3,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-10-06,456651,19500000.0,8.1,6060.0,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,26.0,52.0,38.0,28.0,36.0,33.0,237.0,496.0,481.0,208.0,495.0,320.0
3,1,4,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,1994-10-13,456654,19700000.0,8.1,5892.0,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",43.0,47.0,31.0,24.0,32.0,40.0,570.0,455.0,337.0,225.0,431.0,490.0
4,1,5,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,1994-10-20,456653,18600000.0,8.4,5872.0,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",37.0,33.0,23.0,36.0,35.0,40.0,383.0,324.0,217.0,391.0,352.0,578.0
5,1,6,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,1994-10-27,456655,18200000.0,8.1,5609.0,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,15.0,34.0,10.0,30.0,58.0,22.0,161.0,399.0,180.0,392.0,917.0,214.0
6,1,7,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-11-03,456656,23500000.0,9.0,7133.0,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",43.0,23.0,24.0,27.0,25.0,53.0,378.0,152.0,367.0,272.0,407.0,504.0
7,1,8,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,1994-11-10,456657,21100000.0,8.1,5488.0,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,18.0,34.0,16.0,11.0,37.0,48.0,176.0,243.0,178.0,92.0,352.0,504.0
8,1,9,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,1994-11-17,456659,23100000.0,8.2,5316.0,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,35.0,48.0,20.0,32.0,26.0,36.0,474.0,505.0,226.0,268.0,381.0,446.0
9,1,10,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,1994-12-15,456661,19900000.0,8.0,5337.0,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,18.0,23.0,49.0,19.0,31.0,29.0,283.0,141.0,534.0,163.0,418.0,429.0
